"target","predictor_set","term","vif","status","aliased","model_rank","model_columns","rank_deficient","note"
"dX","original","X",1.00008956326269,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dX","original","Y",1.00008956326269,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dX","first_derivative","Y_d1",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors."
"dX","second_derivative","X_d2",1.50502211336197,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dX","second_derivative","Y_d2",1.50502211336197,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dX","all_predictors","X",215.778438267629,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dX","all_predictors","Y",161.952270066769,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dX","all_predictors","Y_d1",783.424282970601,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dX","all_predictors","X_d2",408.389542992181,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dX","all_predictors","Y_d2",561.398672039537,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dY","original","X",1.00008956326269,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dY","original","Y",1.00008956326269,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dY","first_derivative","X_d1",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors."
"dY","second_derivative","X_d2",1.50502211336197,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dY","second_derivative","Y_d2",1.50502211336197,"ok",FALSE,3,3,FALSE,"VIF computed successfully."
"dY","all_predictors","X",111.648913659478,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dY","all_predictors","Y",108.106322823501,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dY","all_predictors","X_d1",635.367353393033,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dY","all_predictors","X_d2",431.689431951573,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
"dY","all_predictors","Y_d2",539.92923694904,"severe_collinearity",FALSE,6,6,FALSE,"VIF computed successfully."
